Ref Name,Mapped Name 0,Mapped Name 1,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
ARI,Arizona Cardinals,ARI,,,,,,,,,,,,,,,,,
ATL,Atlanta Falcons,ATL,,,,,,,,,,,,,,,,,
BAL,Baltimore Ravens,BAL,,,,,,,,,,,,,,,,,
BUF,Buffalo Bills,BUF,,,,,,,,,,,,,,,,,
CAR,Carolina Panthers,CAR,,,,,,,,,,,,,,,,,
CHI,Chicago Bears,CHI,,,,,,,,,,,,,,,,,
CIN,Cincinnati Bengals,CIN,,,,,,,,,,,,,,QB Injury,,,
CLE,Cleveland Browns,CLE,,,,,,,,,,,,,,,,,
DAL,Dallas Cowboys,DAL,,,,,,,,,,,,,,,,,
DEN,Denver Broncos,DEN,,,,,,,,,,,,,,,,,
DET,Detroit Lions,DET,,,,,,,,,,,,,,,,,
GB,Green Bay Packers,GB,,,,,,,,,,,,,,,,,
HOU,Houston Texans,HOU,,,,,,,,,,,,,,,,,
IND,Indianapolis Colts,IND,,,,,,,,,,,,,,,,,
JAX,Jacksonville Jaguars,JAC,,,,,,,,,,,,,,,,,
KC,Kansas City Chiefs,KC,,,,,,,,,,,,,,,,,
LAC,Los Angeles Chargers,LAC,,,,,,,,,,,,,,,,,
LAR,Los Angeles Rams,LAR,,,,,,,,,,,,,,,,,
LV,Las Vegas Raiders,LV,,,,,,,,,,,,,,,,,
MIA,Miami Dolphins,MIA,,,,,,,,,,,,,,,,,
MIN,Minnesota Vikings,MIN,,,,,,,,,,,,,,,,,
NE,New England Patriots,NE,,,,,,,,,,,,,,,,,
NO,New Orleans Saints,NO,,,,,,,,,,,,,,QB Injury,,,
NYG,New York Giants,NYG,,,,,,,,,,,,,,,,,
NYJ,New York Jets,NYJ,,,,,,,,,,,,,,,,,
PHI,Philadelphia Eagles,PHI,,,,,,,,,,,,,,QB change,,,
PIT,Pittsburgh Steelers,PIT,,,,,,,,,,,,,,,,,
SEA,Seattle Seahawks,SEA,,,,,,,,,,,,,,,,,
SF,San Francisco 49ers,SF,,,,,,,,,,,,,,,,,
TB,Tampa Bay Buccaneers,TB,,,,,,,,,,,,,,,,,
TEN,Tennessee Titans,TEN,,,,,,,,,,,,,,,,,
WAS,Washington Football Team,WAS,,,,,,,,,,,,,,,,,
